customer_id,industry,region,signup_date,plan_type,monthly_revenue,churned,renewal_date,sales_rep,usage_score,nps_score
CUST-100072,Healthcare,LATAM,2022-08-24,Pro,337.18,0,2025-07-11,Team Alpha,69.4,3
CUST-100073,Fintech,APAC,2023-09-07,Pro,391.23,0,2025-07-11,Team Charlie,55.6,2
CUST-100074,Education,LATAM,2024-03-08,Pro,354.89,0,2025-07-11,Team Delta,65.1,10
CUST-100075,Fintech,North America,2024-03-29,Basic,57.85,0,2025-07-11,Team Bravo,87.8,5
CUST-100076,Fintech,APAC,2022-03-05,Pro,224.26,0,2025-07-11,Team Bravo,69.5,10
CUST-100077,Consulting,EMEA,2022-03-18,Basic,65.64,0,2025-07-11,Team Charlie,77.4,6
CUST-100078,Fintech,APAC,2024-01-27,Basic,121.46,0,2025-07-11,Team Bravo,80.7,6
CUST-100079,Healthcare,APAC,2023-08-09,Pro,419.01,0,2025-07-11,Team Delta,99.8,10
CUST-100080,Education,EMEA,2021-12-31,Enterprise,2423.89,0,2025-07-11,Team Bravo,81.7,10
CUST-100081,Consulting,North America,2022-10-31,Basic,126.34,0,2025-07-11,Team Charlie,86.6,4
CUST-100082,Consulting,EMEA,2021-10-08,Basic,67.32,0,2025-07-11,Team Alpha,99.5,5
CUST-100083,Consulting,North America,2023-12-09,Enterprise,4546.72,0,2025-07-11,Team Bravo,53.5,10
CUST-100084,Retail,LATAM,2021-11-21,Basic,112.59,0,2025-07-11,Team Bravo,81.1,4
CUST-100085,Retail,North America,2021-10-26,Pro,384.76,1,2025-07-10,Team Delta,68.6,2
CUST-100086,Media,APAC,2022-01-22,Enterprise,1106.05,0,2025-07-11,Team Charlie,76.7,2
CUST-100087,Media,LATAM,2024-04-30,Pro,372.01,0,2025-07-11,Team Charlie,84.9,3
CUST-100088,Fintech,North America,2023-11-12,Enterprise,4282.56,0,2025-07-11,Team Charlie,82.5,2
CUST-100089,Education,APAC,2022-08-26,Basic,53.9,0,2025-07-11,Team Delta,90.9,7
CUST-100090,Media,APAC,2022-06-05,Basic,57.12,0,2025-07-11,Team Alpha,66.2,4
CUST-100091,Consulting,EMEA,2022-11-07,Basic,119.29,0,2025-07-11,Team Delta,87.7,8
CUST-100092,Fintech,EMEA,2024-05-19,Basic,123.51,0,2025-07-11,Team Alpha,62.6,9
CUST-100093,Media,APAC,2023-05-22,Pro,370.56,0,2025-07-11,Team Alpha,66.6,3
CUST-100094,Manufacturing,APAC,2022-01-14,Pro,323.79,0,2025-07-11,Team Charlie,65.0,5
CUST-100095,Consulting,APAC,2022-06-25,Pro,271.58,0,2025-07-11,Team Bravo,92.4,7
CUST-100096,Consulting,LATAM,2022-12-18,Pro,426.36,0,2025-07-11,Team Bravo,75.2,9
CUST-100097,Manufacturing,LATAM,2024-01-10,Pro,296.01,1,2025-07-10,Team Alpha,69.0,1
CUST-100098,Manufacturing,APAC,2022-07-03,Basic,55.35,1,2025-07-10,Team Charlie,48.8,4
CUST-100099,Energy,LATAM,2022-06-18,Basic,107.34,0,2025-07-11,Team Bravo,89.8,5
CUST-100100,Energy,EMEA,2021-10-29,Pro,227.51,0,2025-07-11,Team Charlie,53.4,5
CUST-100101,Media,North America,2022-07-01,Pro,437.47,0,2025-07-11,Team Bravo,79.0,5
CUST-100102,Manufacturing,EMEA,2021-08-28,Pro,348.33,0,2025-07-11,Team Bravo,43.6,7
CUST-100103,Fintech,North America,2021-10-29,Basic,104.59,0,2025-07-11,Team Delta,100.0,9
CUST-100104,Healthcare,LATAM,2022-09-16,Basic,126.15,0,2025-07-11,Team Bravo,68.5,2
CUST-100105,Consulting,LATAM,2022-06-08,Basic,139.19,0,2025-07-11,Team Bravo,78.1,5
CUST-100106,Fintech,North America,2023-12-15,Pro,269.97,0,2025-07-11,Team Bravo,79.3,4
CUST-100107,Education,LATAM,2022-07-23,Basic,85.02,0,2025-07-11,Team Bravo,72.2,3
CUST-100108,Healthcare,LATAM,2023-04-04,Basic,127.71,0,2025-07-11,Team Delta,87.9,7
CUST-100109,Media,LATAM,2021-12-04,Pro,330.34,0,2025-07-11,Team Delta,72.6,2
CUST-100110,Energy,EMEA,2024-04-29,Pro,340.6,0,2025-07-11,Team Delta,94.1,9
CUST-100111,Energy,APAC,2023-01-12,Pro,312.46,0,2025-07-11,Team Charlie,86.6,8
CUST-100112,Energy,EMEA,2023-04-10,Basic,102.84,0,2025-07-11,Team Alpha,46.5,6
CUST-100113,Manufacturing,EMEA,2021-10-03,Basic,142.46,1,2025-07-10,Team Charlie,64.0,4
CUST-100114,Healthcare,EMEA,2024-04-09,Basic,105.39,1,2025-07-10,Team Delta,89.1,1
CUST-100115,Education,EMEA,2021-10-13,Basic,112.76,0,2025-07-11,Team Delta,81.1,7
CUST-100116,Media,LATAM,2022-12-20,Basic,54.54,0,2025-07-11,Team Bravo,100.0,8
CUST-100117,Consulting,LATAM,2022-08-01,Enterprise,1678.72,0,2025-07-11,Team Alpha,62.9,8
CUST-100118,Consulting,LATAM,2022-05-02,Basic,85.34,0,2025-07-11,Team Charlie,46.3,4
CUST-100119,Manufacturing,LATAM,2022-02-13,Enterprise,3411.13,0,2025-07-11,Team Delta,80.4,3
CUST-100120,Retail,LATAM,2022-04-22,Basic,132.25,1,2025-07-10,Team Delta,66.1,2
CUST-100121,Energy,North America,2023-06-29,Basic,58.27,1,2025-07-10,Team Delta,77.1,5
CUST-100122,Education,LATAM,2021-11-05,Enterprise,1105.47,0,2025-07-11,Team Alpha,79.4,9
CUST-100123,Consulting,North America,2023-11-12,Basic,146.99,0,2025-07-11,Team Delta,58.5,1
CUST-100124,Education,LATAM,2021-09-27,Basic,96.87,0,2025-07-11,Team Charlie,73.4,6
CUST-100125,Consulting,APAC,2021-12-02,Basic,119.17,0,2025-07-11,Team Charlie,74.2,5
CUST-100126,Media,LATAM,2022-03-26,Basic,149.66,0,2025-07-11,Team Delta,68.2,9
CUST-100127,Manufacturing,North America,2023-08-04,Basic,62.92,1,2025-07-10,Team Alpha,64.3,4
CUST-100128,Media,EMEA,2022-06-08,Pro,268.59,0,2025-07-11,Team Alpha,52.0,8
CUST-100129,Fintech,EMEA,2021-10-10,Basic,52.22,0,2025-07-11,Team Alpha,94.2,6
CUST-100130,Education,EMEA,2023-02-19,Basic,127.23,0,2025-07-11,Team Alpha,77.5,5
CUST-100131,Retail,LATAM,2023-03-09,Pro,226.52,0,2025-07-11,Team Charlie,92.3,1
CUST-100132,Education,North America,2023-06-17,Pro,240.2,0,2025-07-11,Team Bravo,84.7,2
CUST-100133,Manufacturing,North America,2023-04-29,Pro,441.51,1,2025-07-10,Team Charlie,75.5,2
CUST-100134,Consulting,LATAM,2024-05-04,Enterprise,2402.35,0,2025-07-11,Team Bravo,57.3,2
CUST-100135,Healthcare,EMEA,2022-03-08,Basic,84.83,0,2025-07-11,Team Charlie,44.4,8
CUST-100136,Healthcare,North America,2022-10-14,Basic,141.05,0,2025-07-11,Team Delta,100.0,4
CUST-100137,Media,North America,2021-10-09,Pro,337.8,0,2025-07-11,Team Charlie,78.4,1
CUST-100138,Fintech,LATAM,2022-11-10,Pro,277.47,0,2025-07-11,Team Alpha,74.9,3
CUST-100139,Consulting,APAC,2021-09-26,Pro,361.18,0,2025-07-11,Team Delta,81.0,6
CUST-100140,Education,LATAM,2023-08-31,Basic,119.77,0,2025-07-11,Team Charlie,63.7,3
CUST-100141,Energy,LATAM,2021-10-07,Basic,101.52,1,2025-07-10,Team Charlie,80.1,10
CUST-100142,Media,EMEA,2021-11-12,Pro,267.15,0,2025-07-11,Team Alpha,55.8,6
CUST-100143,Manufacturing,LATAM,2021-10-25,Basic,58.87,0,2025-07-11,Team Delta,55.5,9
CUST-100144,Consulting,APAC,2024-05-24,Basic,85.6,1,2025-07-10,Team Charlie,49.4,9
CUST-100145,Education,LATAM,2023-03-30,Basic,59.23,0,2025-07-11,Team Charlie,62.7,6
CUST-100146,Media,APAC,2023-12-12,Enterprise,1327.04,1,2025-07-10,Team Charlie,67.8,1
CUST-100147,Fintech,EMEA,2023-12-27,Basic,109.73,1,2025-07-10,Team Delta,45.7,8
CUST-100148,Energy,EMEA,2021-09-10,Pro,345.36,0,2025-07-11,Team Delta,65.6,10
CUST-100149,Energy,North America,2023-04-23,Basic,53.67,0,2025-07-11,Team Bravo,42.1,7
CUST-100150,Consulting,EMEA,2022-08-20,Basic,118.72,0,2025-07-11,Team Charlie,69.6,3
CUST-100151,Energy,APAC,2024-05-16,Basic,74.25,0,2025-07-11,Team Charlie,88.5,5
CUST-100152,Media,LATAM,2022-07-16,Basic,68.23,0,2025-07-11,Team Charlie,51.6,4
CUST-100153,Retail,North America,2023-03-17,Pro,342.19,0,2025-07-11,Team Charlie,78.1,9
CUST-100154,Healthcare,EMEA,2024-05-19,Basic,99.84,0,2025-07-11,Team Delta,100.0,8
CUST-100155,Manufacturing,APAC,2023-06-21,Enterprise,3346.14,0,2025-07-11,Team Bravo,90.2,10
CUST-100156,Manufacturing,EMEA,2021-10-31,Basic,78.38,0,2025-07-11,Team Charlie,88.9,8
CUST-100157,Fintech,EMEA,2023-06-22,Basic,99.82,0,2025-07-11,Team Alpha,100.0,9
CUST-100158,Manufacturing,EMEA,2021-11-01,Pro,271.17,0,2025-07-11,Team Delta,68.1,4
CUST-100159,Healthcare,North America,2023-09-04,Pro,455.25,0,2025-07-11,Team Delta,65.6,8
CUST-100160,Energy,LATAM,2022-02-01,Basic,139.68,0,2025-07-11,Team Alpha,37.5,4
CUST-100161,Manufacturing,LATAM,2021-10-25,Basic,149.73,1,2025-07-10,Team Alpha,65.3,4
CUST-100162,Consulting,LATAM,2023-02-05,Basic,146.95,1,2025-07-10,Team Alpha,46.3,8
CUST-100163,Education,EMEA,2022-03-13,Pro,416.87,0,2025-07-11,Team Charlie,86.3,2
CUST-100164,Healthcare,EMEA,2023-11-01,Basic,105.68,0,2025-07-11,Team Delta,89.0,6
CUST-100165,Retail,LATAM,2024-02-16,Basic,146.8,0,2025-07-11,Team Delta,63.6,4
CUST-100166,Manufacturing,LATAM,2024-05-13,Basic,100.76,0,2025-07-11,Team Alpha,78.9,6
CUST-100167,Healthcare,EMEA,2024-05-06,Pro,374.37,0,2025-07-11,Team Charlie,61.4,4
CUST-100168,Healthcare,EMEA,2022-02-04,Basic,82.06,0,2025-07-11,Team Alpha,63.8,5
CUST-100169,Education,North America,2022-01-06,Basic,56.34,1,2025-07-10,Team Delta,22.9,8
CUST-100170,Manufacturing,North America,2023-11-17,Basic,130.99,0,2025-07-11,Team Charlie,91.6,8
CUST-100171,Energy,North America,2022-09-07,Pro,381.83,0,2025-07-11,Team Charlie,86.6,1
CUST-100172,Retail,LATAM,2024-02-05,Basic,135.07,0,2025-07-11,Team Bravo,85.3,9
CUST-100173,Education,APAC,2022-12-25,Pro,261.5,0,2025-07-11,Team Alpha,72.8,1
CUST-100174,Fintech,EMEA,2024-06-12,Pro,422.34,0,2025-07-11,Team Charlie,73.2,9
CUST-100175,Energy,North America,2023-09-04,Basic,125.05,0,2025-07-11,Team Charlie,76.7,3
CUST-100176,Consulting,APAC,2022-08-05,Pro,249.28,0,2025-07-11,Team Delta,79.3,4
CUST-100177,Energy,North America,2021-12-01,Pro,294.86,0,2025-07-11,Team Delta,100.0,2
CUST-100178,Media,APAC,2022-09-13,Basic,131.66,0,2025-07-11,Team Bravo,64.9,6
CUST-100179,Fintech,APAC,2021-07-16,Pro,361.93,0,2025-07-11,Team Bravo,41.5,1
CUST-100180,Energy,LATAM,2022-01-30,Enterprise,1928.85,1,2025-07-10,Team Bravo,67.4,8
CUST-100181,Consulting,LATAM,2022-08-21,Enterprise,1916.1,0,2025-07-11,Team Delta,41.8,6
CUST-100182,Media,LATAM,2023-05-28,Basic,143.98,0,2025-07-11,Team Alpha,61.9,1
CUST-100183,Education,APAC,2023-11-29,Basic,103.35,1,2025-07-10,Team Delta,49.0,4
CUST-100184,Manufacturing,LATAM,2021-12-31,Pro,499.31,0,2025-07-11,Team Alpha,89.6,1
CUST-100185,Energy,North America,2024-06-18,Basic,53.35,0,2025-07-11,Team Charlie,85.8,10
CUST-100186,Healthcare,LATAM,2023-11-05,Enterprise,2975.93,0,2025-07-11,Team Alpha,76.3,4
CUST-100187,Energy,LATAM,2023-02-04,Basic,95.7,0,2025-07-11,Team Charlie,60.8,8
CUST-100188,Energy,LATAM,2023-05-09,Pro,244.98,0,2025-07-11,Team Bravo,89.5,3
CUST-100189,Manufacturing,EMEA,2021-09-13,Enterprise,3775.79,0,2025-07-11,Team Delta,89.6,5
CUST-100190,Energy,North America,2023-01-28,Basic,132.68,1,2025-07-10,Team Bravo,37.3,7
CUST-100191,Education,APAC,2023-01-17,Pro,338.6,1,2025-07-10,Team Delta,44.8,10
CUST-100192,Healthcare,EMEA,2024-06-04,Enterprise,3344.92,0,2025-07-11,Team Alpha,72.0,4
CUST-100193,Energy,North America,2024-05-12,Pro,475.63,0,2025-07-11,Team Bravo,75.7,5
CUST-100194,Energy,APAC,2023-01-11,Pro,412.17,0,2025-07-11,Team Charlie,100.0,6
CUST-100195,Consulting,LATAM,2024-03-01,Enterprise,1309.28,0,2025-07-11,Team Bravo,95.2,9
CUST-100196,Energy,EMEA,2022-07-13,Basic,142.56,0,2025-07-11,Team Bravo,100.0,5
CUST-100197,Healthcare,APAC,2022-04-12,Pro,313.79,0,2025-07-11,Team Delta,82.9,10
CUST-100198,Media,APAC,2021-08-18,Pro,440.86,0,2025-07-11,Team Charlie,59.8,9
CUST-100199,Manufacturing,LATAM,2022-12-09,Enterprise,4454.07,1,2025-07-10,Team Delta,30.2,7
CUST-100200,Energy,APAC,2024-05-16,Basic,84.7,0,2025-07-11,Team Delta,52.5,3
CUST-100201,Energy,APAC,2022-08-29,Enterprise,1992.91,0,2025-07-11,Team Bravo,71.1,4
CUST-100202,Consulting,EMEA,2024-07-04,Enterprise,2675.7,1,2025-07-10,Team Delta,71.2,6
CUST-100203,Fintech,APAC,2023-02-25,Pro,266.03,0,2025-07-11,Team Delta,47.3,1
CUST-100204,Consulting,EMEA,2023-07-12,Basic,67.8,1,2025-07-10,Team Alpha,51.0,8
CUST-100205,Education,APAC,2022-05-17,Enterprise,3008.78,0,2025-07-11,Team Delta,58.4,7
CUST-100206,Healthcare,LATAM,2023-01-05,Basic,92.68,0,2025-07-11,Team Bravo,68.3,1
CUST-100207,Consulting,EMEA,2022-06-29,Basic,53.65,0,2025-07-11,Team Charlie,43.1,8
CUST-100208,Media,LATAM,2021-08-16,Pro,376.24,0,2025-07-11,Team Charlie,78.5,6
CUST-100209,Consulting,APAC,2023-03-21,Pro,332.23,0,2025-07-11,Team Delta,100.0,6
CUST-100210,Fintech,North America,2022-09-16,Basic,126.54,0,2025-07-11,Team Charlie,66.5,3
CUST-100211,Retail,North America,2022-09-17,Basic,87.33,0,2025-07-11,Team Alpha,71.7,2
CUST-100212,Healthcare,LATAM,2024-04-02,Basic,90.87,0,2025-07-11,Team Charlie,82.3,8
CUST-100213,Fintech,North America,2024-05-31,Basic,52.71,0,2025-07-11,Team Alpha,63.4,8
CUST-100214,Manufacturing,APAC,2021-08-22,Basic,69.61,0,2025-07-11,Team Bravo,49.4,5
CUST-100215,Retail,LATAM,2022-08-20,Pro,253.56,0,2025-07-11,Team Bravo,90.2,8
CUST-100216,Education,EMEA,2023-12-29,Basic,59.94,0,2025-07-11,Team Delta,85.7,4
CUST-100217,Retail,LATAM,2021-09-08,Enterprise,4777.64,0,2025-07-11,Team Bravo,81.7,7
CUST-100218,Retail,LATAM,2024-01-23,Pro,468.9,0,2025-07-11,Team Delta,50.0,2
CUST-100219,Manufacturing,North America,2022-12-30,Enterprise,4642.5,0,2025-07-11,Team Delta,100.0,10
CUST-100220,Manufacturing,EMEA,2023-05-19,Basic,132.51,0,2025-07-11,Team Charlie,92.8,9
CUST-100221,Manufacturing,LATAM,2023-03-01,Pro,330.84,0,2025-07-11,Team Delta,64.9,4
CUST-100222,Manufacturing,EMEA,2022-08-10,Enterprise,4898.19,0,2025-07-11,Team Delta,77.5,7
CUST-100223,Healthcare,EMEA,2023-05-19,Basic,129.99,0,2025-07-11,Team Charlie,60.4,3
CUST-100224,Manufacturing,APAC,2023-09-26,Basic,101.25,0,2025-07-11,Team Delta,63.1,9
CUST-100225,Manufacturing,North America,2023-01-27,Pro,241.81,0,2025-07-11,Team Alpha,99.3,4
CUST-100226,Energy,APAC,2021-10-27,Pro,239.68,1,2025-07-10,Team Bravo,71.5,6
CUST-100227,Media,EMEA,2024-03-05,Pro,474.29,0,2025-07-11,Team Charlie,92.3,4
CUST-100228,Education,North America,2024-05-06,Enterprise,2992.36,0,2025-07-11,Team Alpha,74.0,7
CUST-100229,Manufacturing,LATAM,2022-10-20,Basic,60.66,0,2025-07-11,Team Charlie,36.3,9
CUST-100230,Education,North America,2024-05-11,Enterprise,2065.99,0,2025-07-11,Team Charlie,85.7,5
CUST-100231,Consulting,EMEA,2022-11-29,Basic,67.54,1,2025-07-10,Team Charlie,35.0,10
CUST-100232,Manufacturing,EMEA,2024-06-28,Basic,90.44,0,2025-07-11,Team Delta,47.2,6
CUST-100233,Manufacturing,APAC,2023-11-19,Pro,421.41,0,2025-07-11,Team Delta,60.2,4
CUST-100234,Healthcare,EMEA,2022-05-05,Pro,431.3,0,2025-07-11,Team Bravo,71.6,4
CUST-100235,Consulting,APAC,2024-05-08,Basic,121.9,0,2025-07-11,Team Delta,93.1,3
CUST-100236,Fintech,APAC,2024-05-28,Pro,484.79,0,2025-07-11,Team Delta,48.7,4
CUST-100237,Media,APAC,2024-02-22,Pro,248.6,0,2025-07-11,Team Charlie,73.1,1
CUST-100238,Healthcare,EMEA,2023-04-02,Basic,99.64,0,2025-07-11,Team Charlie,92.2,5
CUST-100239,Retail,North America,2022-10-26,Pro,303.32,0,2025-07-11,Team Delta,64.5,1
CUST-100240,Manufacturing,LATAM,2022-06-02,Basic,99.55,0,2025-07-11,Team Alpha,51.6,3
CUST-100241,Fintech,APAC,2023-12-28,Enterprise,1311.06,0,2025-07-11,Team Alpha,69.0,3
CUST-100242,Healthcare,EMEA,2023-07-03,Enterprise,2088.58,0,2025-07-11,Team Bravo,64.1,1
CUST-100243,Consulting,LATAM,2023-05-28,Basic,63.68,1,2025-07-10,Team Delta,51.3,7
CUST-100244,Education,LATAM,2023-09-13,Pro,356.39,0,2025-07-11,Team Delta,94.3,5
CUST-100245,Consulting,APAC,2022-03-31,Basic,119.23,0,2025-07-11,Team Charlie,85.3,9
CUST-100246,Retail,LATAM,2022-09-24,Basic,140.34,0,2025-07-11,Team Bravo,70.8,10
CUST-100247,Media,North America,2021-12-03,Enterprise,1157.71,0,2025-07-11,Team Charlie,76.8,7
CUST-100248,Media,North America,2024-05-21,Basic,149.94,0,2025-07-11,Team Bravo,45.7,5
CUST-100249,Healthcare,LATAM,2022-06-24,Basic,123.1,0,2025-07-11,Team Bravo,70.8,8
CUST-100250,Fintech,North America,2022-02-24,Pro,491.32,1,2025-07-10,Team Bravo,71.9,7
CUST-100251,Education,EMEA,2021-09-20,Basic,95.51,0,2025-07-11,Team Bravo,73.8,7
CUST-100252,Retail,EMEA,2023-07-19,Basic,53.7,0,2025-07-11,Team Bravo,68.5,2
CUST-100253,Fintech,APAC,2023-06-18,Enterprise,4539.99,0,2025-07-11,Team Bravo,70.4,10
CUST-100254,Education,APAC,2024-03-15,Pro,417.43,0,2025-07-11,Team Alpha,81.2,6
CUST-100255,Fintech,EMEA,2024-06-26,Basic,81.88,0,2025-07-11,Team Bravo,46.1,10
CUST-100256,Media,North America,2023-08-17,Basic,137.67,0,2025-07-11,Team Alpha,78.8,7
CUST-100257,Education,LATAM,2022-07-25,Pro,255.64,0,2025-07-11,Team Alpha,74.7,3
CUST-100258,Energy,LATAM,2024-04-25,Pro,221.01,0,2025-07-11,Team Alpha,74.6,8
CUST-100259,Energy,EMEA,2021-12-23,Enterprise,2086.75,0,2025-07-11,Team Alpha,66.7,9
